energy_trace,power_distribution,workflow,c_value,deadline_factor,shift_mode,task_ordering,AVERAGE_of_brown_energy_used,STD_of_brown_energy_used,AVERAGE_of_green_energy_used,STD_of_green_energy_used,AVERAGE_of_makespan,STD_of_makespan,AVERAGE_of_workflow_stretch,STD_of_workflow_stretch
trace-1,uniform,blast,0.000000,2,left,energy,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,2,left,power,0.000000,0.000000,47492026.349849,18527440.345753,24238.700000,1665.696721,24237.700000,1665.696721
trace-1,uniform,blast,0.000000,2,left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,2,left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,2,none,energy,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,2,none,power,105022.254039,165768.337335,47387004.095810,18570021.700953,24238.700000,1665.696721,24237.700000,1665.696721
trace-1,uniform,blast,0.000000,2,none,runtime,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,2,none,runtime_ascending,1007201.643764,709892.495653,46484824.706085,17840650.567975,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,2,right-left,energy,0.000000,0.000000,47492026.349849,18527440.345753,25182.800000,998.491173,25181.800000,998.491173
trace-1,uniform,blast,0.000000,2,right-left,power,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.000000,2,right-left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,25182.800000,998.491173,25181.800000,998.491173
trace-1,uniform,blast,0.000000,2,right-left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.000000,4,left,energy,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,4,left,power,0.000000,0.000000,47492026.349849,18527440.345753,24238.700000,1665.696721,24237.700000,1665.696721
trace-1,uniform,blast,0.000000,4,left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,4,left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,4,none,energy,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,4,none,power,105022.254039,165768.337335,47387004.095810,18570021.700953,24238.700000,1665.696721,24237.700000,1665.696721
trace-1,uniform,blast,0.000000,4,none,runtime,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,4,none,runtime_ascending,1007201.643764,709892.495653,46484824.706085,17840650.567975,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,4,right-left,energy,0.000000,0.000000,47492026.349849,18527440.345753,25182.800000,998.491173,25181.800000,998.491173
trace-1,uniform,blast,0.000000,4,right-left,power,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.000000,4,right-left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,25182.800000,998.491173,25181.800000,998.491173
trace-1,uniform,blast,0.000000,4,right-left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.000000,8,left,energy,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,8,left,power,0.000000,0.000000,47492026.349849,18527440.345753,24238.700000,1665.696721,24237.700000,1665.696721
trace-1,uniform,blast,0.000000,8,left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,8,left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,8,none,energy,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,8,none,power,105022.254039,165768.337335,47387004.095810,18570021.700953,24238.700000,1665.696721,24237.700000,1665.696721
trace-1,uniform,blast,0.000000,8,none,runtime,0.000000,0.000000,47492026.349849,18527440.345753,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,8,none,runtime_ascending,1007201.643764,709892.495653,46484824.706085,17840650.567975,22661.900000,11.406139,22660.900000,11.406139
trace-1,uniform,blast,0.000000,8,right-left,energy,0.000000,0.000000,47492026.349849,18527440.345753,25182.800000,998.491173,25181.800000,998.491173
trace-1,uniform,blast,0.000000,8,right-left,power,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.000000,8,right-left,runtime,0.000000,0.000000,47492026.349849,18527440.345753,25182.800000,998.491173,25181.800000,998.491173
trace-1,uniform,blast,0.000000,8,right-left,runtime_ascending,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
trace-1,uniform,blast,0.500000,2,left,energy,0.000000,0.000000,47492026.349849,18527440.345753,25384.300000,525.821062,25383.300000,525.821062
